SEMBOL,FİYAT,SKOR,GEÇEN ANALİZLER,TAKILDIĞI ANALİZLER,KURUM ALIŞ-SATIŞ ANALİZİ,OLUSTURULMA_ZAMANI
MEGAP,5.9,6,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=2.23, satış=0.34 | Alışlar: TERA 1g: +0.72, TERA 2g: +0.69, TERA 3g: +0.83 | Satışlar: KAMU 1g: -0.15, KAMU 2g: -0.10, KAMU 3g: -0.09",16.07.2025 22:41
IHLAS,2.79,4,MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Kurum hareketi nötr. Toplam alış=2.43, satış=2.35 | Alışlar: BOFA 1g: +0.38, BOFA 2g: +0.94, BOFA 3g: +1.11 | Satışlar: KAMU 1g: -0.35, KAMU 2g: -0.36, KAMU 3g: -0.33, TERA 1g: -0.08, TERA 2g: -0.61, TERA 3g: -0.62",16.07.2025 22:41
PEKGY,2.01,6,Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=11.22, satış=4.21 | Alışlar: BOFA 2g: +0.30, BOFA 3g: +0.28, TERA 1g: +2.11, TERA 2g: +4.59, TERA 3g: +3.93 | Satışlar: KAMU 1g: -0.83, KAMU 2g: -1.19, KAMU 3g: -2.18",16.07.2025 22:41
INFO,3.69,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=2.48, satış=4.37 | Alışlar: KAMU 1g: +0.07, KAMU 2g: +1.04, KAMU 3g: +1.05, TERA 1g: +0.32 | Satışlar: BOFA 1g: -0.49, BOFA 2g: -1.71, BOFA 3g: -1.86, TERA 2g: -0.20, TERA 3g: -0.11",16.07.2025 22:41
MRGYO,2.24,6,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; Stochastic K < 30; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.02, satış=0.76 | Alışlar: BOFA 1g: +0.43, BOFA 2g: +0.17, BOFA 3g: +0.38, KAMU 2g: +0.03 | Satışlar: KAMU 1g: -0.04, KAMU 3g: -0.09, TERA 1g: -0.17, TERA 2g: -0.19, TERA 3g: -0.27",16.07.2025 22:41
IDGYO,3.5,5,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.12, satış=0.27 | Alışlar: KAMU 1g: +0.88, KAMU 2g: +0.14, KAMU 3g: +0.10 | Satışlar: BOFA 2g: -0.03, BOFA 3g: -0.03, TERA 1g: -0.10, TERA 2g: -0.04, TERA 3g: -0.07",16.07.2025 22:41
GEREL,18.47,6,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=3.19, satış=1.09 | Alışlar: BOFA 1g: +0.84, BOFA 2g: +1.09, BOFA 3g: +1.14, TERA 1g: +0.09, TERA 2g: +0.00, TERA 3g: +0.02 | Satışlar: KAMU 1g: -0.28, KAMU 2g: -0.40, KAMU 3g: -0.40",16.07.2025 22:41
HUBVC,2.38,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=1.97, satış=6.56 | Alışlar: KAMU 1g: +0.86, KAMU 2g: +0.56, KAMU 3g: +0.55 | Satışlar: BOFA 1g: -1.09, BOFA 2g: -0.63, BOFA 3g: -1.14, TERA 1g: -1.12, TERA 2g: -1.02, TERA 3g: -1.56",16.07.2025 22:41
IHLGM,2.95,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=1.04, satış=5.70 | Alışlar: KAMU 1g: +0.17, KAMU 2g: +0.40, KAMU 3g: +0.26, TERA 1g: +0.19, TERA 3g: +0.03 | Satışlar: BOFA 1g: -1.07, BOFA 2g: -2.09, BOFA 3g: -2.49, TERA 2g: -0.04",16.07.2025 22:41
HDFGS,1.83,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=6.81, satış=11.48 | Alışlar: BOFA 2g: +2.41, BOFA 3g: +2.19, KAMU 1g: +1.30, KAMU 2g: +0.44, KAMU 3g: +0.46 | Satışlar: BOFA 1g: -0.37, TERA 1g: -2.86, TERA 2g: -3.27, TERA 3g: -4.98",16.07.2025 22:41
YESIL,1.83,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.08, satış=1.40 | Alışlar: TERA 1g: +0.08 | Satışlar: KAMU 1g: -0.38, KAMU 2g: -0.33, KAMU 3g: -0.58, TERA 2g: -0.07, TERA 3g: -0.04",16.07.2025 22:41
TNZTP,47.46,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.13, satış=0.86 | Alışlar: BOFA 1g: +0.30, BOFA 2g: +0.41, BOFA 3g: +0.42 | Satışlar: KAMU 1g: -0.19, KAMU 2g: -0.18, KAMU 3g: -0.19, TERA 1g: -0.09, TERA 2g: -0.10, TERA 3g: -0.11",16.07.2025 22:41
HOROZ,65.0,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.88, satış=1.36 | Alışlar: BOFA 1g: +0.88 | Satışlar: BOFA 2g: -0.10, BOFA 3g: -0.09, KAMU 1g: -0.20, KAMU 2g: -0.14, KAMU 3g: -0.14, TERA 1g: -0.18, TERA 2g: -0.26, TERA 3g: -0.26",16.07.2025 22:41
DERIM,42.0,2,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.00, satış=2.62 | Alışlar:  | Satışlar: BOFA 1g: -0.20, BOFA 2g: -0.59, BOFA 3g: -0.60, KAMU 1g: -0.30, KAMU 2g: -0.37, KAMU 3g: -0.37, TERA 1g: -0.05, TERA 2g: -0.07, TERA 3g: -0.07",16.07.2025 22:41
BAHKM,47.78,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.70, satış=2.21 | Alışlar: BOFA 1g: +0.14, BOFA 2g: +0.28, BOFA 3g: +0.28 | Satışlar: KAMU 1g: -0.49, KAMU 2g: -0.39, KAMU 3g: -0.40, TERA 1g: -0.28, TERA 2g: -0.32, TERA 3g: -0.33",16.07.2025 22:41
ESCAR,44.12,3,Golden Cross seviyesine yakın; Momentum pozitif,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.68, satış=0.37 | Alışlar: KAMU 2g: +0.32, KAMU 3g: +0.32, TERA 1g: +0.03 | Satışlar: BOFA 1g: -0.03, BOFA 2g: -0.11, BOFA 3g: -0.11, KAMU 1g: -0.06, TERA 2g: -0.04, TERA 3g: -0.04",16.07.2025 22:41
VRGYO,2.92,5,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.83, satış=0.10 | Alışlar: BOFA 2g: +0.41, BOFA 3g: +0.37, KAMU 1g: +0.34, KAMU 2g: +0.14, KAMU 3g: +0.18, TERA 1g: +0.08, TERA 2g: +0.14, TERA 3g: +0.17 | Satışlar: BOFA 1g: -0.10",16.07.2025 22:41
OZATD,189.0,4,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.96, satış=1.89 | Alışlar: KAMU 1g: +0.44, KAMU 2g: +0.17, KAMU 3g: +0.17, TERA 1g: +0.09, TERA 2g: +0.04, TERA 3g: +0.04 | Satışlar: BOFA 1g: -0.77, BOFA 2g: -0.55, BOFA 3g: -0.56",16.07.2025 22:41
TMPOL,88.85,6,EMA kısa vadede yukarı trend; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.02, satış=0.10 | Alışlar: BOFA 1g: +0.00, KAMU 1g: +0.15, KAMU 2g: +0.40, KAMU 3g: +0.40, TERA 2g: +0.03, TERA 3g: +0.03 | Satışlar: BOFA 2g: -0.01, BOFA 3g: -0.01, TERA 1g: -0.09",16.07.2025 22:41
ALKLC,52.55,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=2.07, satış=3.78 | Alışlar: KAMU 1g: +0.89, KAMU 2g: +0.57, KAMU 3g: +0.57, TERA 1g: +0.03 | Satışlar: BOFA 1g: -1.80, BOFA 2g: -0.77, BOFA 3g: -0.81, TERA 2g: -0.20, TERA 3g: -0.20",16.07.2025 22:41
DOFER,46.06,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.24, satış=0.78 | Alışlar: BOFA 2g: +0.07, BOFA 3g: +0.06, KAMU 1g: +0.06, KAMU 2g: +0.00, TERA 1g: +0.05 | Satışlar: BOFA 1g: -0.51, KAMU 3g: -0.01, TERA 2g: -0.13, TERA 3g: -0.13",16.07.2025 22:41
SEGMN,24.8,5,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=3.41, satış=0.56 | Alışlar: BOFA 1g: +0.36, BOFA 2g: +0.36, BOFA 3g: +0.38, KAMU 1g: +0.08, KAMU 2g: +1.12, KAMU 3g: +1.11 | Satışlar: TERA 1g: -0.18, TERA 2g: -0.18, TERA 3g: -0.19",16.07.2025 22:41
BIZIM,27.94,5,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.28, satış=0.13 | Alışlar: BOFA 1g: +0.01, BOFA 2g: +0.09, BOFA 3g: +0.09, TERA 1g: +0.03, TERA 2g: +0.03, TERA 3g: +0.03 | Satışlar: KAMU 1g: -0.01, KAMU 2g: -0.06, KAMU 3g: -0.06",16.07.2025 22:41
NTGAZ,9.46,5,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.43, satış=0.26 | Alışlar: BOFA 1g: +0.09, BOFA 2g: +0.04, BOFA 3g: +0.05, TERA 1g: +0.06, TERA 2g: +0.09, TERA 3g: +0.09 | Satışlar: KAMU 1g: -0.09, KAMU 2g: -0.09, KAMU 3g: -0.08",16.07.2025 22:41
EYGYO,2.71,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.15, satış=3.10 | Alışlar: BOFA 1g: +0.15 | Satışlar: BOFA 2g: -0.09, BOFA 3g: -0.03, KAMU 1g: -0.35, KAMU 2g: -0.51, KAMU 3g: -0.45, TERA 1g: -0.54, TERA 2g: -0.45, TERA 3g: -0.67",16.07.2025 22:41
KRONT,12.11,2,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.39, satış=1.09 | Alışlar: KAMU 1g: +0.03, TERA 2g: +0.18, TERA 3g: +0.18 | Satışlar: BOFA 1g: -0.04, BOFA 2g: -0.13, BOFA 3g: -0.14, KAMU 2g: -0.37, KAMU 3g: -0.34, TERA 1g: -0.07",16.07.2025 22:41
MOPAS,45.28,6,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Kurum hareketi nötr. Toplam alış=4.54, satış=5.12 | Alışlar: BOFA 1g: +0.53, TERA 2g: +2.03, TERA 3g: +1.98 | Satışlar: BOFA 2g: -1.64, BOFA 3g: -1.63, KAMU 1g: -0.45, KAMU 2g: -0.61, KAMU 3g: -0.60, TERA 1g: -0.19",16.07.2025 22:41
VANGD,46.78,4,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.27, satış=1.24 | Alışlar: TERA 1g: +0.08, TERA 2g: +0.09, TERA 3g: +0.10 | Satışlar: KAMU 1g: -0.33, KAMU 2g: -0.46, KAMU 3g: -0.46",16.07.2025 22:41
BVSAN,101.2,4,Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=2.75, satış=1.52 | Alışlar: KAMU 1g: +0.82, KAMU 2g: +0.77, KAMU 3g: +0.77, TERA 1g: +0.15, TERA 2g: +0.12, TERA 3g: +0.12 | Satışlar: BOFA 1g: -0.47, BOFA 2g: -0.52, BOFA 3g: -0.52",16.07.2025 22:41
GENIL,177.5,4,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=1.66, satış=2.50 | Alışlar: BOFA 1g: +0.67, BOFA 2g: +0.49, BOFA 3g: +0.50 | Satışlar: KAMU 1g: -0.06, KAMU 2g: -0.03, KAMU 3g: -0.03, TERA 1g: -0.81, TERA 2g: -0.79, TERA 3g: -0.79",16.07.2025 22:41
TARKM,399.0,2,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.02, satış=0.29 | Alışlar: BOFA 2g: +0.00, BOFA 3g: +0.00, TERA 2g: +0.01, TERA 3g: +0.01 | Satışlar: BOFA 1g: -0.01, KAMU 1g: -0.04, KAMU 2g: -0.09, KAMU 3g: -0.09, TERA 1g: -0.05",16.07.2025 22:41
DITAS,28.3,4,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.03, satış=1.19 | Alışlar: TERA 2g: +0.01, TERA 3g: +0.01 | Satışlar: BOFA 1g: -0.17, BOFA 2g: -0.36, BOFA 3g: -0.37, KAMU 1g: -0.18, KAMU 2g: -0.04, KAMU 3g: -0.06, TERA 1g: -0.02",16.07.2025 22:41
ULAS,23.32,5,RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.28, satış=0.12 | Alışlar: BOFA 1g: +0.08, BOFA 2g: +0.23, BOFA 3g: +0.24, KAMU 1g: +0.01, KAMU 2g: +0.36, KAMU 3g: +0.36, TERA 1g: +0.00 | Satışlar: TERA 2g: -0.06, TERA 3g: -0.06",16.07.2025 22:41
MARBL,14.54,3,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.13, satış=1.15 | Alışlar: BOFA 2g: +0.07, BOFA 3g: +0.06 | Satışlar: BOFA 1g: -0.04, KAMU 1g: -0.07, KAMU 2g: -0.42, KAMU 3g: -0.42, TERA 1g: -0.05, TERA 2g: -0.08, TERA 3g: -0.08",16.07.2025 22:41
